marker_lat,marker_lng,proposed_name,text_lat,text_lng,horizontal_difference,vertical_difference,score,nearest_other_title,nearest_other_score,confidence,action,notes
1.5818302639606454,-48.14208984375001,Nonotuck,26.391869671769022,-51.13037109375,2.988281,24.810039,29.292461,Pocumtuck,47.834288,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
1.7575368113083254,-52.09716796875001,Nonotuck,26.391869671769022,-51.13037109375,0.966797,24.634333,26.084528,Pocumtuck,44.626355,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
1.9551868337565232,-51.52587890625001,Nonotuck,26.391869671769022,-51.13037109375,0.395508,24.436683,25.029945,Pocumtuck,43.571771,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
0.7250783020332547,-50.62500000000001,Nonotuck,26.391869671769022,-51.13037109375,0.505371,25.666791,26.424848,Pocumtuck,44.966675,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
1.7355743631421197,-49.98779296875001,Nonotuck,26.391869671769022,-51.13037109375,1.142578,24.656295,26.370162,Pocumtuck,44.911989,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
1.3621763466641712,-49.43847656250001,Nonotuck,26.391869671769022,-51.13037109375,1.691895,25.029693,27.567535,Pocumtuck,46.109362,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
0.17578097424708533,-46.75781250000001,Nonotuck,26.391869671769022,-51.13037109375,4.372559,26.216089,32.774927,Peskeomskut,48.276728,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
2.3943223575350774,-47.52685546875001,Nonotuck,26.391869671769022,-51.13037109375,3.603516,23.997547,29.402821,Peskeomskut,46.875185,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
2.591888984149953,-50.07568359375001,Nonotuck,26.391869671769022,-51.13037109375,1.054687,23.799981,25.382012,Pocumtuck,43.923839,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
2.833317196855306,-50.64697265625001,Nonotuck,26.391869671769022,-51.13037109375,0.483398,23.558552,24.283650,Pocumtuck,42.825477,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
3.3160183381615123,-50.09765625000001,Nonotuck,26.391869671769022,-51.13037109375,1.032715,23.075851,24.624924,Pocumtuck,43.166750,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
4.368320420876243,-50.03173828125001,Nonotuck,26.391869671769022,-51.13037109375,1.098633,22.023549,23.671498,Pocumtuck,42.213325,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
8.167993177231883,-49.6142578125,Nonotuck,26.391869671769022,-51.13037109375,1.516113,18.223876,20.498046,Pocumtuck,39.039873,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
8.99360046428003,-48.0322265625,Nonotuck,26.391869671769022,-51.13037109375,3.098145,17.398269,22.045486,Pocumtuck,40.587313,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
